X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,Name,addrln1,addrln2,city,state,hours,phones,email,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,date_updated,dis_status,POINT_X,POINT_Y
6488010.52287419,1838925.54650685,360,211,,Social Services,Homeless Shelters and Services,,,Special Service For Groups -  Project 180,420 S. San Pedro,,Los Angeles,CA,"SITE HOURS:  Monday through Friday, 8:30am to 4:30pm. ","FAX (213) 621-4155,  Service/Intake (213) 620-5712",,ssgmain.org/,,,772,"The agency provides advocacy, child care, HIV/AIDS services, holiday assistance, interpreter and translator services, personal goods, services for non-profit organizations, services for older adults, substance abuse services, and youth services in Los Angeles County.",90013,http://egis3.lacounty.gov/lms/?p=772,publish,34.045219,-118.243152,2017/10/30 14:43:13+00,,6488010.52287413,1838925.54650681
6465472.37536527,1836164.72197601,396,211,,Social Services,Homeless Shelters and Services,,,1736 Family Crisis Center,2116 Arlington Ave,Suite 200,Los Angeles,CA,"Monday through Friday, 8:30am to 5:30pm.  Evenings and Saturdays by appointment.","24 Hrs-Crisis Hotline Service/Intake and Hotline (213) 222-1237, 24 Hrs-Youth Crisis/Shelter Hotline Service/Intake and Hotline (310) 379-3620, 24 Hrs-DV Shelter Hotline Service/Intake and Hotline (310) 370-5902, Community Service Center Service/Intake an",,www.1736fcc.org,,,786,"The agency provides case management, counseling services, domestic violence services, family support services for low income families, runaway services, emergency and transitional shelter for battered women and their children, shelter for runaway/homeless youth, and welfare-to-work support services.  Services are provided at two community service center locations in South Los Angeles and Torrance, an emergency youth shelter in Hermosa Beach, and four confidentially located domestic violence shelters.",90018,http://egis3.lacounty.gov/lms/?p=786,publish,34.03745995,-118.3175215,2017/10/06 16:28:29+00,,6465472.37536523,1836164.72197598
6440469.5352792,1774161.8699321,408,211,,Social Services,Homeless Shelters and Services,,,1736 Family Crisis Center - Emergency Youth Shelter,1736 Monterey Blvd.,,Hermosa Beach,CA,"Monday through Sunday, 24 hours per day. ",24 Hrs-Youth Crisis/Shelter Hotline Service/Intake and Hotline (310) 379-3620,,www.1736fcc.org,,,788,"The agency provides case management, counseling services, domestic violence services, family support services for low income families, runaway services, emergency and transitional shelter for battered women and their children, shelter for runaway/homeless youth, and welfare-to-work support services.",90254,http://egis3.lacounty.gov/lms/?p=788,publish,33.866842,-118.399235,2017/10/30 14:49:17+00,,6440469.53527914,1774161.86993206
6561308.44812845,1875360.08321768,423,211,,Social Services,Homeless Shelters and Services,,,Santa Anita Family Service,605 S. Myrtle Ave.,,Monrovia,CA,,"Service/Intake and Administration (626) 359-9358,  FAX (626) 358-7647",,www.santaanitafamilyservice.org,,,794,"The agency provides CalFresh services, child abuse services, counseling services, domestic violence services, drug abuse services and services for older adults.",91016,http://egis3.lacounty.gov/lms/?p=794,publish,34.145581,-118.001196,2017/10/30 14:51:21+00,,6561308.44812839,1875360.08321765
6532127.09179311,1859683.18018836,428,211,,Social Services,Homeless Shelters and Services,,,Santa Anita Family Service - San Gabriel,206 E Las  Tunas Dr,,San Gabriel,CA,,"Service/Intake (626) 308-1414,  FAX (626) 308-1818",,www.santaanitafamilyservice.org,,,795,"The agency provides CalFresh services, child abuse services, counseling services, domestic violence services, drug abuse services and services for older adults.",91776,http://egis3.lacounty.gov/lms/?p=795,publish,34.10246354,-118.0975893,2017/10/30 15:03:43+00,,6532127.09179306,1859683.18018831
6464350.12268853,1859591.35556886,748,211,,Social Services,Homeless Shelters and Services,,,Children's Hosptial Los Angeles - High Risk Youth Program - Saban Free Clinic,6043 Hollywood Blvd.,,Los Angeles,CA,"Tuesday, 1:00pm to 5:00pm and Thursday, 2:00pm to 5:00pm. ","Appointments Service/Intake (323) 653-1990, Saban Free Clinic Admin. Administrative (323) 462-8632, Medi-Cal, HMO and Patients under 21 Service/Intake (323) 337-1775",,www.childrenshospitalla.org/site/c.ipINKTOAJsG/b.4452451/,,,946,The agency provides health services and homeless support services for youth age 12 to 24 in the Hollywood area.,90028,http://egis3.lacounty.gov/lms/?p=946,publish,34.101823,-118.321473,2017/10/30 15:05:07+00,,6464350.12268847,1859591.35556881
6471317.18585411,1858134.64588386,754,211,,Social Services,Homeless Shelters and Services,,,Children's Hosptial Los Angeles - High Risk Youth Program,5000 W Sunset Blvd,4th Fl.,Los Angeles,CA,"Monday through Friday, 8:30am to 5:00pm.  Clinic hours Tuesday and Thursday, 1:00pm to 5:30pm. ","Administrative (323) 361-2390, Appointments Service/Intake (323) 653-1990, Medi-Cal, HMO and Patients under 21 Service/Intake (323) 337-1775",,www.childrenshospitalla.org/site/c.ipINKTOAJsG/b.4452451/,,,947,The agency provides health services and homeless support services for youth age 12 to 24 in the Hollywood area.,90027,http://egis3.lacounty.gov/lms/?p=947,publish,34.09787921,-118.2984449,2013/06/01 11:50:56+00,,6471317.18585405,1858134.64588381
6463590.1543922,1841758.77246769,948,211,,Social Services,Homeless Shelters and Services,,,Center For The Pacific Asian Family Inc,1102 Crenshaw Blvd,,Los Angeles,CA,,"Hotline-24 Hour Service/Intake and Hotline (323) 966-4590, Hotline-24 Hours Service/Intake and Hotline (323) 653-4042,  Administrative (323) 653-4045,  FAX (323) 653-7913, Hotline-24 Hour Service/Intake and Hotline (800) 339-3940",,www.nurturingchange.org,,,1073,"The center provides child abuse services, domestic violence services, shelter, sexual assault services, volunteer opportunities, and welfare-to-work support services.",90019,http://egis3.lacounty.gov/lms/?p=1073,publish,34.05281504,-118.3237936,2017/10/30 15:22:07+00,,6463590.15439214,1841758.77246764
6465021.32377394,1859603.77319494,1065,211,,Social Services,Homeless Shelters and Services,,,Salvation Army - The Way In,5939 Hollywood Blvd.,,Hollywood,CA,"Site Hours:  Drop In Center hours are Monday through Friday, 6:00pm to 8:00pm.  Shelter programs hours are Monday through Sunday, 24 hours per day.     ","FAX (323) 468-8678, 24 Hour Service/Intake and Hotline (323) 469-2946, 24 Hour Service/Intake and Hotline (800) 843-9294",,,,,1133,"The center provides holiday assistance, runaway services and shelter for homeless youth who are in the Hollywood area.",90028,http://egis3.lacounty.gov/lms/?p=1133,publish,34.101863,-118.319256,2017/10/16 14:55:18+00,,6465021.32377389,1859603.77319489
6520061.21631861,2076383.68937176,1332,211,,Social Services,Homeless Shelters and Services,,www.catalystfdn.org,"Catalyst Foundation , The",540 W Lancaster Blvd,,Lancaster,CA,"Monday through Thursday, 8:00am to 5:00pm; Friday, 8:00am to 12:00pm. ","Service/Intake and Administration (661) 949-7378,  FAX (661) 942-0022,  Service/Intake and Administration (661) 948-8559",,www.catalystfdn.org,,,1283,The foundation provides emergency food and HIV/AIDS services for Antelope Valley residents.,93534,http://egis3.lacounty.gov/lms/?p=1283,publish,34.69788341,-118.1384319,2013/06/01 11:50:56+00,,6520061.21631855,2076383.68937173
